Timestamp,What is your current grade level?,What is your favorite subject?
5/16/2025 13:46:13,Junior (11th),Math
5/16/2025 14:03:29,Junior (11th),History
5/16/2025 14:15:46,Junior (11th),History
5/19/2025 10:07:06,Junior (11th),Math
5/19/2025 10:07:28,Junior (11th),History
5/19/2025 10:11:09,Junior (11th),Math
5/19/2025 10:12:25,Freshman (9th),Math
5/19/2025 10:13:30,Junior (11th),Math
5/19/2025 10:13:37,Junior (11th),Math
5/19/2025 10:14:52,Sophomore (10th),Math
5/19/2025 10:15:14,Freshman (9th),Math
5/19/2025 10:15:22,Junior (11th),English
5/19/2025 10:16:02,Freshman (9th),Math
5/19/2025 10:16:56,Sophomore (10th),English
5/19/2025 10:17:38,Freshman (9th),Math
5/19/2025 10:23:47,Freshman (9th),Math
5/20/2025 13:18:45,Freshman (9th),Math
5/20/2025 13:19:40,Freshman (9th),English
5/20/2025 13:21:31,Junior (11th),History
5/20/2025 13:21:57,Freshman (9th),English
5/20/2025 13:22:05,Freshman (9th),Math
5/20/2025 13:24:14,Freshman (9th),Science
5/20/2025 13:24:46,Freshman (9th),Science
5/20/2025 13:24:51,Freshman (9th),Math
5/20/2025 13:29:54,Senior (12th),Science
5/20/2025 13:30:10,Senior (12th),Math
5/20/2025 13:30:54,Junior (11th),History
5/20/2025 13:31:02,Senior (12th),English
5/20/2025 13:31:11,Senior (12th),Science
5/20/2025 13:31:16,Senior (12th),English
5/20/2025 13:31:23,Senior (12th),Math
5/20/2025 13:31:34,Senior (12th),History
5/20/2025 13:31:49,Senior (12th),Science
5/20/2025 13:31:50,Senior (12th),English
5/20/2025 13:32:11,Senior (12th),History
5/20/2025 13:32:16,Senior (12th),English
5/20/2025 13:32:19,Senior (12th),Math
5/20/2025 13:32:21,Senior (12th),English
5/20/2025 13:33:07,Sophomore (10th),History
5/20/2025 14:11:49,Sophomore (10th),Math
5/20/2025 16:48:26,Freshman (9th),Math
5/20/2025 16:48:28,Freshman (9th),Math
5/20/2025 16:48:30,Freshman (9th),Math
5/20/2025 16:48:34,Freshman (9th),English
5/20/2025 16:48:38,Freshman (9th),History
5/20/2025 16:48:41,Freshman (9th),Science
5/20/2025 16:48:45,Freshman (9th),English
5/20/2025 16:48:49,Freshman (9th),Science
5/22/2025 13:15:51,Sophomore (10th),Math
5/22/2025 13:15:55,Sophomore (10th),Science
5/22/2025 13:15:58,Sophomore (10th),English
5/22/2025 13:16:03,Sophomore (10th),Math
5/22/2025 13:16:19,Sophomore (10th),History
5/22/2025 13:16:23,Sophomore (10th),Math
5/22/2025 13:16:29,Sophomore (10th),Math
5/22/2025 13:16:44,Sophomore (10th),English
5/22/2025 13:16:56,Junior (11th),Math
5/22/2025 13:17:03,Junior (11th),English
5/22/2025 13:17:14,Sophomore (10th),History
5/22/2025 13:17:52,Senior (12th),Science
5/22/2025 13:18:00,Sophomore (10th),English
5/22/2025 13:18:06,Junior (11th),English
5/22/2025 13:18:13,Senior (12th),History
5/22/2025 13:18:19,Junior (11th),History
5/22/2025 13:18:25,Sophomore (10th),History
5/22/2025 13:18:34,Sophomore (10th),Science
5/22/2025 13:18:47,Senior (12th),English
5/22/2025 13:19:03,Junior (11th),History
5/22/2025 13:20:27,Junior (11th),History
5/22/2025 13:20:32,Junior (11th),History
5/22/2025 13:20:39,Sophomore (10th),History
5/22/2025 13:20:47,Senior (12th),English
